region,year,site-name,permit,status,latitude,longitude,operator,activities,accepts,tonnes-input,tonnes-treated-recovered,tonnes-output
North Lanarkshire,2019,"Hartlouphill Landfill Site, Airdrie",WML/W/0000164,Not operational,55.90733555465782,-3.97172048096057,FCC WASTE SERVICES (UK) LIMITED,Landfill (not operational),Commercial / Household / Industrial,0,0,0
North Lanarkshire,2019,"Dalmacoulter Landfill Site, Airdrie",WML/W/0020069,Not operational,55.88855215332996,-3.974446088881345,NORTH LANARKSHIRE COUNCIL,Landfill (not operational),Commercial / Household / Industrial / Other special,0,0,0
Highland,2019,"Biffa Waste Services Ltd , Evanton Ind Est",WML/N/0050109,Not operational,57.67804673725533,-4.301926840869437,BIFFA WASTE SERVICES LIMITED,Transfer station,Commercial / Household / Industrial,0,0,0
Aberdeenshire,2019,"Landfill at Lynturk, Tough, Alford",WML/N/0020067,Not operational,57.202608188395374,-2.665111339714808,STEWART MILNE HOME OPTIONS LTD,Landfill (not operational),Industrial,0,0,0
Falkirk,2019,"Jawcraig Brickworks, Falkirk",WML/L/1109101,Not operational,55.956518706005376,-3.840302828381775,ANGLO SCOTTISH BIOSOLID LIMITED,Transfer station,Commercial / Household / Industrial,0,0,0
Falkirk,2019,"Thomas Craig Campbell Autoparts, ELV Site",WML/E/0220240,Not operational,56.01669525503167,-3.6009472768862922,THOMAS CAMPBELL,Metal recycler,Commercial / Household / Industrial,0,0,0
Fife,2019,"Burnside Motors ELV, Montgomery Dr Leven",WML/E/0020118,Not operational,56.196299938810945,-3.0188887833577285,H E T IRVINE,Metal recycler,Commercial,0,0,0
Argyll and Bute,2019,"Achadaphail Quarry Closed LFS,Bunessan,  Mull",WML/W/0020044,Not operational,56.323272433563105,-6.20583869398668,ARGYLL & BUTE COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Shetland Islands,2019,"Rova Head Landfill Site, Lerwick",WML/N/0050052,Not operational,60.18955790125219,-1.150758606815108,SHETLAND ISLANDS COUNCIL,Landfill (not operational) / Transfer station,Commercial / Household / Industrial,0,0,0
Glasgow City,2019,"Rhodar, Unit 2A, Block 16, Clydesmill Rd, Cam",WML/L/1020390,Not operational,55.82829530969635,-4.166224380560981,RHODAR (SCOTLAND) LTD,Transfer station,Industrial,0,0,0
Fife,2019,"SP Power Sys, Woodgate Dr Depot TS Glenrothes",WML/E/0000271,Not operational,56.18752686415247,-3.1503293090814406,SP POWER SYSTEMS LTD,Transfer station,Industrial,0,0,0
Dundee City,2019,"Phinn Autobreakers ELV, Ardyle Works, Dundee",WML/E/0220255,Not operational,56.47483489344938,-3.0175546569421408,MICHAEL PHINN AUTOBREAKERS,Metal recycler,Commercial / Household / Industrial,0,0,0
Aberdeenshire,2019,Macduff Shipyards,WML/L/1088999,Not operational,57.673141857106046,-2.494343329421155,MACDUFF SHIPYARDS LTD,Transfer station,Commercial / Other special,0,0,0
Falkirk,2019,"Central Scotland Salvage, Meadowbank Yard",WML/E/0000034,Not operational,55.98572537138879,-3.718464781602623,CENTRAL SCOTLAND SALVAGE,Metal recycler,Commercial / Household / Industrial,0,0,0
Shetland Islands,2019,"BP Exploration Operating  LFS, Sullom Voe",WML/N/0050100,Not operational,60.47118261546313,-1.2671048092549468,ENQUEST NNS LIMITED,Landfill (not operational),Commercial / Industrial / Inert,0,0,0
Angus,2019,"Westbank Autobreakers, Westmuir, Kirriemuir",WML/E/0220129,Not operational,56.6641554351342,-3.041872753605398,ANDREW MCKAY FOTHERINGHAM,Metal recycler,Commercial,0,0,0
Angus,2019,"Stather's Auto Salvg ELV, Erin Works,Arbroath",WML/E/0220066,Not operational,56.56419411194263,-2.5858440035164256,STATHERS AUTO SALVAGE,Metal recycler,Commercial / Household / Industrial,0,0,0
North Lanarkshire,2019,"Bellshill Autobrkrs ELV,Cardean Rd,Mossend",WML/W/0220062,Not operational,55.82178405547359,-3.9948509281561857,BELLSHILL AUTOBREAKERS,Metal recycler,Commercial / Household / Industrial / Other special,0,0,0
West Lothian,2019,"Deans TS, Deans Ind Est, Livingston",WML/E/0020017,Not operational,55.910045499692345,-3.5688044921972133,WEST LOTHIAN COUNCIL,Transfer station,Commercial / Household,0,0,0
North Lanarkshire,2019,"Northburn Oils Ltd, Coatbridge",PPC/A/1016407,Not operational,55.8713731562448,-4.011269046462983,NORTHBURN OILS LIMITED,Other treatment,,0,0,0
Scottish Borders,2019,"Borders General Hospital, Melrose",PPC/E/0020004,Not operational,55.59560974709073,-2.7395882169513333,BORDERS HEALTH BOARD,Incineration,Other special,0,0,0
Aberdeenshire,2019,"Stanley Clark, Beechbank, Kemnay",WML/N/0020074,Not operational,57.22678990012471,-2.454219129053469,STANLEY CLARK,Metal recycler,Commercial,0,0,0
East Dunbartonshire,2019,"Barraston Quarry, Torrance",WML/W/0000218,Not operational,55.95239982184729,-4.236463722170386,BARRASTON DEVELOPMENT LTD,Landfill (not operational),Commercial,0,0,0
South Lanarkshire,2019,"Cathkin Quarry LF, East Kilbride",WML/W/0000101,Not operational,55.79967190777923,-4.199373390580249,GLASGOW CITY COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Aberdeen City,2019,"Torry Marine Base, Sinclair Road, Aberdeen",PPC/A/1016777,Not operational,57.138671762654425,-2.0779960799499886,ASCO UK LIMITED,Other treatment / Transfer station,Industrial / Other special,0,0,0
Aberdeenshire,2019,"Brandon Howe L/F Site, Inverboyndie, Banff",PPC/A/1000106,Not operational,57.66463739454613,-2.5584312745245907,ABERDEENSHIRE COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Highland,2019,"Fort William WWTW,  Fort William",WML/N/0050386,Not operational,56.831201233786715,-5.100576807678776,VEOLIA WATER OPERATIONAL SERVICES (HIGHLAND) LIMITED,Anaerobic digestion / Transfer station,Household,0,0,0
Aberdeen City,2019,"Halliburton, Howe Moss Crescent, Dyce",WML/N/0020083,Not operational,57.205428628126725,-2.2233191219306723,HALIBURTON MANUFACTURING & SERVICES LTD,Transfer station,Industrial,0,0,0
West Lothian,2019,"WasteCare Limited, 3 Muir Road, Livingston",WML/E/0020182,Not operational,55.913250042573466,-3.502078479831491,WASTECARE LIMITED,Transfer station,Commercial / Industrial,0,0,0
Dumfries and Galloway,2019,"Downsmoss, Catherinefield Road, Dumfries",WML/W/0000207,Not operational,55.085173344525614,-3.5470172297099625,J & J CURRIE LTD,Landfill (not operational),Commercial / Industrial,0,0,0
West Dunbartonshire,2019,"Campbell Commercials ELV site, Alexandria",WML/W/0220074,Not operational,55.99301395787233,-4.580720895912636,ROBERT CAMPBELL (COMMERCIALS) LTD,Metal recycler,Commercial,0,0,0
North Lanarkshire,2019,"Kilgarth L/F Site, Gartgill Rd, Coatbridge",WML/W/0000071,Not operational,55.88360710332789,-4.048249755951183,CITY OF GLASGOW,Landfill (not operational),Commercial / Household,0,0,0
North Lanarkshire,2019,"WH Malcolm, Avenuehead Farm LF, Muirhead",WML/W/0000277,Not operational,55.90381669105799,-4.076418405346384,W H MALCOLM LTD,Landfill (not operational),Commercial,0,0,0
Stirling,2019,"Kinbuck Quarry LF, Dunblane",WML/E/0000323,Not operational,56.2230516932297,-3.9417527072963887,PRIVATE CONTACT,Landfill (not operational),Commercial / Industrial / Inert,0,0,0
Dumfries and Galloway,2019,"Old Barony Sawmill, Parkgate, Dumfries",WML/W/0000210,Not operational,55.175060988502544,-3.5330180694961135,MICHAEL LOWTHER & SONS,Metal recycler,Commercial / Household / Industrial,0,0,0
Fife,2019,"CWS, Westlaw Place T/S, Glenrothes",WML/E/0000268,Not operational,56.181980141465566,-3.20066009522611,CLINICAL WASTE SERVICES,Transfer station,Commercial,0,0,0
Dundee City,2019,"C.S.R ELV,1 Beryl Street, Dundee",WML/E/0220065,Not operational,56.48406606050628,-2.8995913903730934,C.S.R.,Metal recycler,Commercial,107,107,217.83
Fife,2019,"Cowdenbeath Recyc Ctr/CA Extn,Cuddyhouse Rd",WML/E/0220053,Not operational,56.10955850956455,-3.3667720229696947,FIFE COUNCIL,Civic amenity,Commercial / Household / Industrial,0,0,0
Midlothian,2019,"A7 Car Breakers, Vogrie Road, Gorebridge",WML/E/0000088,Not operational,55.840152936838614,-3.0397546949903207,A7 CAR BREAKERS,Metal recycler,Other special,0,0,0
South Lanarkshire,2019,"Bardykes Bing (Part Suspended), Cambuslang",WML/W/0020099,Not operational,55.80354649896375,-4.116909403027218,DOONIN PLANT LIMITED,Other treatment,Commercial / Industrial,0,0,0
Fife,2019,"Fife Council, Prestonhall Rd T/S, Cupar",WML/E/0020065,Not operational,56.32595725503571,-2.982215310279706,FIFE COUNCIL,Transfer station,Commercial / Household / Industrial,0,0,0
Argyll and Bute,2019,"Glengorm LFS, Tobermory, Mull",WML/W/0020045,Not operational,56.62587897501543,-6.097241991281198,ARGYLL & BUTE COUNCIL,Civic amenity / Landfill (not operational) / Transfer station,Commercial / Household / Industrial,0,0,0
Aberdeenshire,2019,"Howe of Byth, Cowbog, New Pitsligo",PPC/A/1038332,Not operational,57.602514650076344,-2.271516933310051,LOVIE (NEW PITSLIGO) LIMITED,Landfill (not operational) / Other treatment,Commercial / Household / Industrial / Inert / Other special / Special asbestos,0,0,0
Argyll and Bute,2019,"Gartbreck LFS, Isle of Islay, Argyll",WML/W/0020049,Not operational,55.740359476029354,-6.318037771136814,ARGYLL & BUTE COUNCIL,Civic amenity / Landfill (not operational) / Transfer station,Commercial / Household / Industrial,0,0,0
Fife,2019,"A G Watson Auto Salvage, Belleknowes",WML/E/0000259,Not operational,56.03965177491931,-3.3996337855833287,USERVE LIMITED,Metal recycler,Commercial / Household / Industrial,0,0,0
West Lothian,2019,"2D Inchmuir Road, Whitehill Ind Est, Bathgate",WML/L/1155841,Not operational,55.88371348390693,-3.6255771340045997,ACROSS THE RAINBOW LIMITED,Pet crematoria,Household,0,0,0
Clackmannanshire,2019,"HM Prison Glenochil, Tullibody",WML/L/1114931,Not operational,56.14245192807688,-3.8165166557219155,HM PRISON GLENOCHIL,Transfer station,Commercial,0,0,0
Aberdeenshire,2019,Inverurie Paper Mills Landfill,WML/N/0020063,Not operational,57.26304405978294,-2.3649154462151656,INTERNATIONAL PAPER (UK) LTD,Landfill (not operational),Industrial,0,0,0
Aberdeenshire,2019,"Cairnmoss (Abdn) Ltd,Arnhall Quarry LF,Edzell",WML/E/0000225,Not operational,56.815433499192196,-2.6401673207369307,CAIRNMOSS (ABERDEEN) LTD,Landfill (not operational),Commercial,0,0,0
Angus,2019,"Peasiehill Rd T/S, Elliot Ind Est, Arbroath",WML/E/0220261,Not operational,56.550118761447344,-2.6165350943041785,ANGUS COMMUN & RECYCLG OPPS PARTNERSHIP,Transfer station,Commercial,0,0,0
Highland,2019,"LFS, 6 Duisky, by Fortwilliam",WML/N/0050072,Not operational,56.84072620891664,-5.279340996044744,PRIVATE CONTACT,Landfill (not operational),Commercial / Household / Industrial,0,0,0
East Ayrshire,2019,"Tyres Direct, Thistle Business Park, Cumnock",WML/W/0000247,Not operational,55.44004142840987,-4.248403987292947,TYRES DIRECT LTD,Metal recycler,Other special,0,0,0
Falkirk,2019,"Underwood Car Market ELV, Dennyloanhead",WML/E/0000032,Not operational,55.99351145378466,-3.919851168475346,UNDERWOOD CAR MARKET,Metal recycler,Commercial / Household,0,0,0
Aberdeenshire,2019,"Peterhead STW, Burnhaven, Peterhead",PPC/A/1103919,Not operational,57.48825389332977,-1.784966738426749,KELDA WATER SERVICES (GRAMPIAN) LTD,Other treatment,Industrial,0,0,0
Highland,2019,"HC Drynoch MRF, Drynoch, Isle of Skye",WML/N/0050023,Not operational,57.312240388665515,-6.31582803327612,THE HIGHLAND COUNCIL,Metal recycler,Commercial / Household / Industrial,0,0,0
Falkirk,2019,"FCC Waste Services (UK) Ltd, Grangemouth",WML/L/1146910,Not operational,56.010657467077216,-3.6982511578539348,FCC WASTE SERVICES (UK) LIMITED,Transfer station,Commercial / Household,0,0,0
Aberdeenshire,2019,"Easter Hatton Farm Landfill Site 2, Balmedie",WML/N/0020007,Not operational,57.23243246999907,-2.0546528817976273,EASTER HATTON ENVIRONMENTAL (WASTE AWAY) LTD,Landfill (not operational),Industrial,0,0,0
Perth and Kinross,2019,"Tayside Contracts,Blair Atholl Roads Depot TS",WML/E/0000319,Not operational,56.76715945285519,-3.855830881127008,TAYSIDE CONTRACTS,Transfer station,Industrial,0,0,0
Falkirk,2019,"Grangemouth SRF Storage Facility, Grangemouth",WML/L/1101538,Not operational,56.027150568245155,-3.6994407139648002,FORTH PORTS LIMITED,Transfer station,Industrial,0,0,0
Falkirk,2019,"Earls Gate Energy Centre, Grangemouth",PPC/A/1157446,Not operational,56.011684442219725,-3.7355159908740827,EARLS GATE ENERGY CENTRE LIMITED,Incineration,Commercial / Household / Industrial,0,0,0
Highland,2019,"Dornoch WwTP, Shore Road, Dornoch",WML/N/0220013,Not operational,57.867956832564786,-4.026755147681681,SCOTTISH WATER,Anaerobic digestion / Transfer station,Commercial / Household / Industrial,0,0,0
Falkirk,2019,"Wester Seamores Fm LF, Longcroft, by Denny",WML/E/0000014,Not operational,55.99177642038753,-3.9175682980127813,ROBERT RUSSELL,Landfill (not operational),Commercial / Inert,0,0,0
Glasgow City,2019,"MEADOW ROAD SUBSTATION, PARTICK",WML/W/0000047,Not operational,55.86990994051775,-4.314400691737822,SCOTTISH POWER GENERATION LTD,Transfer station,Industrial,0,0,0
Falkirk,2019,"Kinneil Kerse Landfill Site, Bo'ness",WML/E/0020012,Not operational,56.0099867818455,-3.6415929271960454,FALKIRK COUNCIL ROADS SERVICES,Landfill (not operational),Commercial,0,0,0
Orkney Islands,2019,"OIC Blossom Quarry LFS, Rousay, Orkney",WML/N/0050008,Not operational,59.17566893738131,-3.0060464194247283,ORKNEY ISLANDS COUNCIL,Landfill (not operational) / Transfer station,Commercial,0,0,0
North Lanarkshire,2019,Mossband Farm High Street Newhouse Motherwell,PPC/A/1035042,Not operational,55.82368525039422,-3.924616652672654,TOM WASTE SOLUTIONS LTD,Landfill (not operational) / Other treatment,Commercial / Household / Inert,0,0,0
Angus,2019,Cunmont Quarry Kingennie Newbigging,WML/L/1087998,Not operational,56.519407467235176,-2.829622372189945,BREEDON NORTHERN LTD,Transfer station,Industrial,0,0,0
Fife,2019,"Smith Anderson, Cabbagehall Landfill, Leslie",WML/E/0000263,Not operational,56.196267194290044,-3.215484153708196,"SMITH, ANDERSON & COMPANY LIMITED",Landfill (not operational),Industrial,0,0,0
Midlothian,2019,"A1 Autospares, Newtonloan Toll, Gorebridge",WML/E/0000087,Not operational,55.856412640588374,-3.0635796135343156,ROBERT MOFFAT,Metal recycler,Commercial / Household / Industrial,0,0,0
East Ayrshire,2019,"Milton LFS, Kilmarnock",WML/W/0020144,Not operational,55.607714212609054,-4.4155664311884735,ESAT AYRSHIRE COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Dundee City,2019,"West Street Motors ELV, 22 West St, Dundee",WML/E/0220132,Not operational,56.47404062954283,-2.9822856880413187,PRIVATE CONTACT,Metal recycler,Commercial,0,0,0
Fife,2019,"William Noble, Randolph In Estate, Kirkcaldy",WML/L/1021951,Not operational,56.1326177713553,-3.1243424889278733,WM NOBLE,Metal recycler,Commercial,0,0,0
Highland,2019,"HC South Head LFS, Wick Harbour, Wick",WML/N/0050107,Not operational,58.43390099215419,-3.071845764361485,THE HIGHLAND COUNCIL,Landfill (not operational),Industrial,0,0,0
Glasgow City,2019,"190 Helen Street, Govan, Glasgow",WML/W/0220044,Not operational,55.8575822422691,-4.31462636495384,SAINT-GOBAIN PLC,Transfer station,Commercial,0,0,0
Aberdeen City,2019,"Backhills, Kingswells - McIntosh Plant",WML/N/0020047,Not operational,57.147864169859666,-2.2579470691937575,MCINTOSH PLANT HIRE (ABERDEEN) LIMITED,Landfill (not operational),Industrial,0,0,0
North Ayrshire,2019,"GIFFEN QUARRY LANDFILL, BEITH",WML/W/0000221,Not operational,55.72114237944931,-4.578073660507722,W H MALCOLM LTD,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Fife,2019,"Cupar Auto Breakers ELV,Prestonhall IE,Cupar",WML/E/0220089,Not operational,56.32399593308735,-2.9825207301891883,CUPAR AUTO BREAKERS,Metal recycler,Commercial,0,0,0
Aberdeenshire,2019,"Macduff Gully Emptying Facility, Macduff",WML/L/1134409,Not operational,57.667739049871614,-2.4789636134596895,ABERDEENSHIRE COUNCIL,Transfer station,Industrial,0,0,0
Argyll and Bute,2019,"Lingerton LFS/CA Site,  by Lochgilphead",WML/W/0020040,Not operational,56.01316184324878,-5.42062111589626,SHANKS ARGYLL & BUTE LIMITED,Civic amenity / Landfill (not operational) / Transfer station,Commercial / Household / Industrial,0,0,0
Fife,2019,"Red Industries, Burnside Complex, Kinglassie",PPC/A/1036306,Not operational,56.171372831024854,-3.2266498048760077,WISER WASTE INFORMATION SERVICES LTD,Other treatment,Commercial / Household / Industrial,0,0,0
Dumfries and Galloway,2019,"E.ON UK Plc, Stevens Croft Power Satation",PPC/A/1011415,Not operational,55.15186470954603,-3.378581321131872,E.ON UK RENEWABLES LIMITED,Co-incineration,Industrial,71748,0,0
Fife,2019,"Jaguar & Subaru Centre ELV,Tollpark,Buckhaven",WML/E/0220083,Not operational,56.173545799908474,-3.039581768926114,THE JAGUAR AND SUBARU CENTRE,Metal recycler,Commercial,0,0,0
Outer Hebrides,2019,"Benbecual WTW, Water Sludge Press",WML/N/0050388,Not operational,57.46058175731226,-7.327311930626177,SCOTTISH WATER,Other treatment / Transfer station,Industrial,0,0,0
Renfrewshire,2019,"Thermal Plant, Kilbarchan Rd, Bridge of Weir",PPC/A/1017440,Not operational,55.84722331327417,-4.5666844860483815,SLG TECHNOLOGY LTD,Incineration,Industrial,1534,0,0
Shetland Islands,2019,"Shetland Gas Plant Peat Store, Sullom Voe",PPC/A/1085946,Not operational,60.47063435060924,-1.2540568853204126,TOTAL EXPLORATION & PRODUCTION UK LTD,Landfill (not operational),Inert,0,0,0
City of Edinburgh,2019,"Braehead Quarry CA Site, Edinburgh",WML/E/0020043,Not operational,55.95066379512074,-3.3224399982531705,THE CITY OF EDINBURGH COUNCIL,Civic amenity,Household,0,0,0
Aberdeenshire,2019,"Scot Proteins, Upper Cottown, Kintore",PPC/A/1016237,Not operational,57.228627391984,-2.3914107457068465,ORAN UTILITIES LIMITED,Other treatment,Industrial,0,0,0
Glasgow City,2019,"Unit 1C Linnpark Ind Est, 179 Drakemire Drive",WML/L/1042170,Not operational,55.803204439482975,-4.247082285921624,RYAN PLANT RECYCLING LTD,Transfer station,Commercial / Household / Industrial / Other special,0,0,0
Angus,2019,GRC Skip Hire & Waste Management Serivice,WML/E/0120022,Not operational,56.64049373475501,-2.906817261553973,DELSON SKIP HIRE LTD,Transfer station,Commercial / Household / Industrial / Other special,0,0,0
Glasgow City,2019,"MacAuto's,185 Broomloan Rd,Ibrox,Glasgow",WML/L/1033230,Not operational,55.85575382423806,-4.3095635641966075,MACAUTO'S,Metal recycler,Commercial,0,0,0
North Ayrshire,2019,"Meadowhead Inlet Works TS, Irvine",WML/W/0220154,Not operational,55.58915365744757,-4.636569996848324,SCOTTISH WATER,Transfer station,Industrial,0,0,0
North Lanarkshire,2019,"M B Export ELV, 21 Meadow Rd,Motherwell,N.Lan",WML/W/0220277,Not operational,55.78490258760128,-3.9767117536433094,MR MUDATHAN A M BILAL,Metal recycler,Commercial / Household / Industrial / Other special,0,0,0
Falkirk,2019,"Headswood Mill, Eagle Recycling, Denny",WML/E/0020126,Not operational,56.02117684655263,-3.8789066321532077,EAGLE RECYCLING (UK) LIMITED,Transfer station,Commercial / Household / Industrial,0,0,0
Angus,2019,"Torith Ltd, Baldragon Farm LF, Dundee",WML/E/0000229,Not operational,56.50281817938461,-3.0084739487608725,TORITH LTD,Landfill (not operational),Industrial,0,0,0
Midlothian,2019,"Stobhill Depot, Newtongrange",WML/L/1087243,Not operational,55.85887446709164,-3.061553712398772,MIDLOTHIAN COUNCIL ROAD SERVICES,Other treatment,Industrial,0,0,0
West Lothian,2019,"Broxburn Auto Spares, Greendykes Road",WML/E/0000067,Not operational,55.93931811755946,-3.4688047793614665,BROXBURN AUTO SPARES,Metal recycler,Commercial,0,0,0
North Lanarkshire,2019,"Murfitts Industries Ltd, Condor Glen Holytown",WML/L/1150385,Not operational,55.82808017107401,-3.991245077533073,MURFITTS INDUSTRIES LIMITED,Transfer station,Commercial,0,0,0
East Lothian,2019,Field at West Fortune Farm,WML/E/0000077,Not operational,56.009394688575206,-2.748324118127564,J HAIG HAMILTON & SONS,Landfill (not operational),Industrial,0,0,0
Midlothian,2019,"Drummond Moor (No1) Landfill Site, Penicuik",WML/E/0020047,Not operational,55.82814363609454,-3.1654522246182917,MIDLOTHIAN COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
South Lanarkshire,2019,"J Leckie & Sons TS,Allanshaw Ind Est,Hamilton",WML/W/0020126,Not operational,55.77550647752438,-4.050978570350037,JOSEPH LECKIE & SONS,Transfer station,Commercial / Household / Industrial,0,0,0
Fife,2019,"Grant Constrctn, Dodhead Links LF Burntisland",WML/E/0020015,Not operational,56.07023315932581,-3.2073372968214646,GRANT CONSTRUCTION SERVICES,Landfill (not operational),Household / Inert,0,0,0
South Lanarkshire,2019,"2-18 Glasgow Road, Blantyre",WML/W/0000138,Not operational,55.78791984643562,-4.073437400499986,MARTIN TIPPER HIRE LIMITED,Metal recycler,Commercial / Household / Industrial,0,0,0
Falkirk,2019,"Braemar Metals, Bridgeness Rd, Bo'ness",WML/E/0000028,Not operational,56.01754477538954,-3.585274315693583,BRAEMAR METALS LTD,Metal recycler,Commercial / Household / Industrial,0,0,0
Fife,2019,"H Irvine, Fife Motor Spares ELV, Lochgelly",WML/E/0020132,Not operational,56.13564586631901,-3.3078777946064717,H E T IRVINE,Metal recycler,Commercial,0,0,0
Fife,2019,"Denburn Yard, Denburn Road, Kirkcaldy",WML/L/1171156,Not operational,56.125730627136576,-3.1491598418462923,JAMES REEKIE,Transfer station,Industrial,0,0,0
West Lothian,2019,"Hillhouse Farm Landfill, Kirknewton",WML/E/0000053,Not operational,55.891423725894704,-3.4153389248082258,MARDON PLANT HIRE LTD,Landfill (not operational),Commercial,0,0,0
Dumfries and Galloway,2019,"A W Jenkinson, Steven's Croft, Lockerbie",PPC/A/1011417,Not operational,55.15187387137605,-3.3785659419991947,ALLAN WILSON JENKINSON,Other treatment,Industrial,0,0,0
Renfrewshire,2019,"Angus Metals, 23 Mary St, Johnstone",WML/W/0000099,Not operational,55.83916391572036,-4.503259698468267,ANGUS METALS LTD,Transfer station,Special asbestos,0,0,0
Fife,2019,"Wm McCormac Henderson & Co, Low Beveridgewell",WML/E/0000255,Not operational,56.07695732824041,-3.4645400017204024,WM MCCORMAC HENDERSON & CO LTD,Metal recycler,Commercial / Household / Industrial,0,0,0
North Lanarkshire,2019,"ASAP Contracts T/S, 50 Sykesdie Road, Airdrie",WML/W/0020140,Not operational,55.85178280001008,-3.9933840313062303,ASAP CONTRACTS LTD,Transfer station,Commercial,0,0,0
North Ayrshire,2019,Giffenmill Railway Cutting,WML/W/0020093,Not operational,55.72751144481622,-4.594502771923151,MCTAGGART CONSTRUCTION,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Aberdeenshire,2019,"Crows Nest L/F,Raemoir Rd,Banchory,Aberdeen",PPC/A/1000060,Not operational,57.064337971970396,-2.512345737620855,ABERDEENSHIRE COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Renfrewshire,2019,"Linwood Moss L/F, Moss Rd, Linwood, Paisley",WML/W/0020088,Not operational,55.860883311988864,-4.4903355240256335,RENFREWSHIRE COUNCIL,Landfill (not operational),Industrial,0,0,0
Aberdeen City,2019,"Sclattie Quarry CA Extn,Bucksburn,Aberdeen",WML/N/0020207,Not operational,57.18129729903562,-2.178522227136127,SUEZ RECYCLING & RECOVERY NORTH EAST LTD,Civic amenity,Commercial / Household / Industrial,0,0,0
North Ayrshire,2019,"Shewalton Moss Landfill Site, Irvine",WML/W/0000185,Not operational,55.58090033204952,-4.628652687575372,BRITISH RAILWAYS,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Renfrewshire,2019,"WTTF, 33/35 McFarlane Street, Paisley",WML/W/0000084,Not operational,55.8547755453493,-4.441218341356333,CAPE ENVIRONMENTAL SERVICES ONSHORE LTD.,Transfer station,Commercial / Household / Industrial / Other special,0,0,0
East Dunbartonshire,2019,"Peel Glen Road Landfill, Bearsden",WML/W/0000012,Not operational,55.92457235111185,-4.370489459162347,AMBION HOMES LTD,Landfill (not operational),Commercial,0,0,0
South Lanarkshire,2019,"J Dunsmore Recovery Ltd, Baird Ave, Larkhall",WML/L/1033398,Not operational,55.722283129636246,-3.958736234662997,J DUNSMORE RECOVERY & SALVAGE LTD,Metal recycler,Commercial,0,0,0
Angus,2019,"Montrose Port Authority, Montrose",PPC/A/1016831,Not operational,56.7017472602968,-2.4662827352902887,OSS GROUP LTD,Other treatment / Transfer station,Commercial / Household / Industrial / Other special,0,0,0
North Ayrshire,2019,"Hunterston Marine Services Centre, Hunterston",WML/L/1173385,Not operational,55.736674794999,-4.888296972423978,CLYDEPORT OPERATIONS LTD,Metal recycler,Industrial,0,0,0
East Lothian,2019,"Scoughall Farm, North  Berwick",WML/E/0000076,Not operational,56.03973458822395,-2.61429603644278,J R DALE,Landfill (not operational),Industrial,0,0,0
