category,item,material
Garden,"Tool (large) i.e. spade, fork",Scrap Metal
Garden,Tool (small) i.e. trowel,Scrap Metal
Garden,Waterbutt,PVC (including forming)
Garden,Wheelbarrow ,Scrap Metal
Gas Appliances,"Cooker, gas",WEEE - Large
Gas Appliances,"Hob, gas",WEEE - Large
Gas Appliances,"Fire, gas",WEEE - Large
Cat 1 - Large Household Appliances,"Baby belling, counter top cooker, hostess trolley ",WEEE - Large
Cat 1 - Large Household Appliances,Cooker hood,WEEE - Large
Cat 1 - Large Household Appliances,"Cooker, electric ",WEEE - Large
Cat 1 - Large Household Appliances,Dishwasher ,WEEE - Large
Cat 1 - Large Household Appliances,Spin-Dryer ,WEEE - Large
Cat 1 - Large Household Appliances,Tumble-Dryer ,WEEE - Large
Cat 1 - Large Household Appliances,Twin-tub ,WEEE - Large
Cat 1 - Large Household Appliances,Washer Drier,WEEE - Large
Cat 1 - Large Household Appliances,Washing Machine ,WEEE - Large
Cat 2 - Small Household Appliances,Electric sewing maching,WEEE - Small
Cat 2 - Small Household Appliances,Fan (electric) ,WEEE - Small
Cat 2 - Small Household Appliances,Fan heater,WEEE - Small
Cat 2 - Small Household Appliances,Fire,WEEE - Small
Cat 2 - Small Household Appliances,"Hair & Beauty Elec  i.e. hair dryer, foot massager, hair curlers, hair straighteners",WEEE - Small
Cat 2 - Small Household Appliances,"Hob, electric",WEEE - Small
Cat 2 - Small Household Appliances,"Medium elec - bread machine, video camera, trouser press",WEEE - Small
Cat 2 - Small Household Appliances,Microwave ,WEEE - Small
Cat 2 - Small Household Appliances,Radiator,WEEE - Small
Cat 2 - Small Household Appliances,"Small elec - kettle, toaster, clock, sandwich maker,coffee maker, juicer, rice cooker ,steamer, iron, food mixer",WEEE - Small
Cat 2 - Small Household Appliances,Vacuum ,WEEE - Small
Cat 3 - IT & Telecommunications,"Computer, base unit",WEEE - Mixed
Cat 3 - IT & Telecommunications,Laptop,WEEE - Mixed
Cat 3 - IT & Telecommunications,"Mobile Phone & Accessories (hands free kit, charger)",WEEE - Mixed
Cat 3 - IT & Telecommunications,"PC Accessories (keyboard, mouse)",WEEE - Mixed
Cat 3 - IT & Telecommunications,"PC Printers, Scanners, Shredder",WEEE - Mixed
Cat 3 - IT & Telecommunications,Photocopier ,WEEE - Mixed
Cat 3 - IT & Telecommunications,Telecommunications equipment,WEEE - Mixed
Cat 3 - IT & Telecommunications,"Wordprocessor, Electric Typewriter",WEEE - Mixed
Cat 4 - Consumer Equipment,"Hi-fi, integrated",WEEE - Mixed
Cat 4 - Consumer Equipment,"Hi-fi, separates (amplifier, cassette deck, CD player, radio, speakers)",WEEE - Mixed
Cat 4 - Consumer Equipment,"Video, DVD, Games Consoles, Digiboxes",WEEE - Mixed
Cat 5 - Lighting Equipment,Lamp / Light,WEEE - Mixed
Cat 6 - Electrical & Electronic Tools,"Garden tools, electrical (small) i.e. strimmer, hedge cutter, garden vac",WEEE - Mixed
Cat 6 - Electrical & Electronic Tools,"Garden tools, electrical (large) i.e. lawnmower, shredder",WEEE - Mixed
Cat 6 - Electrical & Electronic Tools,"Power Tools i.e. drill, electric screwdriver",WEEE - Mixed
"Cat 7 - Toys, leisure & sports","Musical Instruments i.e. keyboard, organ",WEEE - Mixed
"Cat 7 - Toys, leisure & sports",Sunbed,WEEE - Large
Cat 8 - Medical devices,Electric Armchair,WEEE - Large
Cat 8 - Medical devices,"Electric Bed, double",WEEE - Large
Cat 8 - Medical devices,"Electric Bed, single",WEEE - Large
Cat 8 - Medical devices,Electric Wheelchair,WEEE - Large
Cat 11 - Display Equipment,"CRT-Monitor <14"" ",WEEE - Mixed
Cat 11 - Display Equipment,"CRT-Monitor 14"" ",WEEE - Mixed
Cat 11 - Display Equipment,"CRT-Monitor 15"" ",WEEE - Mixed
Cat 11 - Display Equipment,"CRT-Monitor 17"" ",WEEE - Mixed
Cat 11 - Display Equipment,"CRT-Monitor 19"" ",WEEE - Mixed
Cat 11 - Display Equipment,"CRT-Monitor 21"" ",WEEE - Mixed
Cat 11 - Display Equipment,TV Portable or TV Combi,WEEE - Mixed
Cat 11 - Display Equipment,"Flat screen display 15-17""",WEEE - Mixed
Cat 11 - Display Equipment,"Flat screen display 19-20""",WEEE - Mixed
Cat 11 - Display Equipment,"Flat screen display 22-24""",WEEE - Mixed
Cat 11 - Display Equipment,"Flat screen display 26-30""",WEEE - Mixed
Cat 11 - Display Equipment,"Flat screen display 32-37""",WEEE - Mixed
Cat 11 - Display Equipment,"Flat screen display 40-46""",WEEE - Mixed
Cat 12 - Cooling Appliances containing refrigeration,"Air Conditioner, Dehumidifier",WEEE - Mixed
Cat 12 - Cooling Appliances containing refrigeration,"Freezer, chest ",WEEE - Fridges and Freezers
Cat 12 - Cooling Appliances containing refrigeration,"Freezer, free standing",WEEE - Fridges and Freezers
Cat 12 - Cooling Appliances containing refrigeration,"Freezer / Fridge, table top",WEEE - Fridges and Freezers
Cat 12 - Cooling Appliances containing refrigeration,"Freezer, undercounter",WEEE - Fridges and Freezers
Cat 12 - Cooling Appliances containing refrigeration,"Fridge, free standing",WEEE - Fridges and Freezers
Cat 12 - Cooling Appliances containing refrigeration,"Fridge, undercounter",WEEE - Fridges and Freezers
Cat 12 - Cooling Appliances containing refrigeration,Fridge-Freezer ,WEEE - Fridges and Freezers
